rank,id,doi,total_size_bytes,n_files,keywords,title,url
33,15039847,10.5281/zenodo.15039847,2590562,1,"traits, geography, descriptions, active, textmining",Memoirs of the American Entomological Society,https://zenodo.org/records/15039847
34,13323130,10.5281/zenodo.13323130,1840961,1,"traits, active",Brose et al,https://zenodo.org/records/13323130
35,13323186,10.5281/zenodo.13323186,1733960,1,"descriptions, traits, active",eBird/Clements checklist of birds of the world: Version 6.9,https://zenodo.org/records/13323186
36,13316331,10.5281/zenodo.13316331,1698153,1,"traits, active",AnAge,https://zenodo.org/records/13316331
37,13322693,10.5281/zenodo.13322693,1635196,1,"traits, active","Chen and Moles, 2015",https://zenodo.org/records/13322693
38,20321835,10.5281/zenodo.20321835,1544077,1,"traits, active, textmining",Smithsonian Contributions Series: Smithsonian Contributions to Botany,https://zenodo.org/records/20321835
39,13319112,10.5281/zenodo.13319112,1426547,1,"traits, active",FAO Fishery Statistics,https://zenodo.org/records/13319112
40,13318068,10.5281/zenodo.13318068,1364273,1,"traits, active",GBIF elevation data,https://zenodo.org/records/13318068
41,13313568,10.5281/zenodo.13313568,958026,1,"traits, active",National Wetland Plant List: National Wetland Plant List 2016,https://zenodo.org/records/13313568
42,17633934,10.5281/zenodo.17633934,845252,1,"traits, active, taxonomic inference",Kubitzki et al,https://zenodo.org/records/17633934
43,13320905,10.5281/zenodo.13320905,820579,1,"taxonomic inference, textmining, traits, active",Habitat data for fungi,https://zenodo.org/records/13320905
44,16986787,10.5281/zenodo.16986787,790439,1,"traits, active",Rotifer World Catalog: Type data & habitat info,https://zenodo.org/records/16986787
45,13315733,10.5281/zenodo.13315733,744237,1,"traits, active",Tree carbon estimates,https://zenodo.org/records/13315733
46,13320118,10.5281/zenodo.13320118,727907,1,"traits, active",The US National Vegetation Classification (USNVC),https://zenodo.org/records/13320118
47,13319411,10.5281/zenodo.13319411,655221,1,"traits, active",NMNH Primate measurements: NMNH Primate Measurements,https://zenodo.org/records/13319411
48,14646717,10.5281/zenodo.14646717,644711,1,"taxonomic inference, textmining, traits, active",Trophic guild data for fungi,https://zenodo.org/records/14646717
49,13319595,10.5281/zenodo.13319595,611711,1,"traits, active",The European Vegetation Archive (EVA),https://zenodo.org/records/13319595
50,15092385,10.5281/zenodo.15092385,537359,1,traits,Spreadsheet template for Nematoda trophic traits (Hodda 2022),https://zenodo.org/records/15092385
51,13316307,10.5281/zenodo.13316307,499687,1,"traits, active",Crustacean body sizes,https://zenodo.org/records/13316307
52,14647411,10.5281/zenodo.14647411,443161,1,"taxonomic inference, textmining, traits, active",Fungi ecomorphological trait data,https://zenodo.org/records/14647411
53,13315739,10.5281/zenodo.13315739,435600,1,"traits, active",Milk Chemical Data: Milk Composition of Non-Dairy Animals,https://zenodo.org/records/13315739
54,13322441,10.5281/zenodo.13322441,413378,1,"traits, active",Global Wood Density Database,https://zenodo.org/records/13322441
55,13320893,10.5281/zenodo.13320893,404381,1,"taxonomic inference, traits, active",Cellularity & Growth Form Data Version April 2023,https://zenodo.org/records/13320893
56,13319716,10.5281/zenodo.13319716,395796,1,"traits, active",ECOCROP,https://zenodo.org/records/13319716
57,13320929,10.5281/zenodo.13320929,382778,1,"textmining, traits, active",Invertebrate Phenology,https://zenodo.org/records/13320929
58,13315851,10.5281/zenodo.13315851,379759,1,"active, traits","Hone et al, 2013: avian data",https://zenodo.org/records/13315851
59,16817406,10.5281/zenodo.16817406,352778,1,"traits, active",Palm Traits 1.0,https://zenodo.org/records/16817406
60,13316359,10.5281/zenodo.13316359,341513,1,"traits, active",McClain Bivalve Sizes,https://zenodo.org/records/13316359
61,15164488,10.5281/zenodo.15164488,333513,1,"traits, active","Olenina et al, 2006",https://zenodo.org/records/15164488
62,15414954,10.5281/zenodo.15414954,325332,1,traits,Spreadsheet template for Xenacoelomorpha traits,https://zenodo.org/records/15414954
63,13319679,10.5281/zenodo.13319679,314329,1,"traits, active",Fire Effects Information System: FEIS Invasiveness (structured data) (750) in DwCA,https://zenodo.org/records/13319679
64,13318995,10.5281/zenodo.13318995,309017,1,"traits, active",Parasitic Plants Database,https://zenodo.org/records/13318995
65,13316357,10.5281/zenodo.13316357,298433,1,"traits, active","Macroecological database of mammalian body mass: Smith et al, 2011",https://zenodo.org/records/13316357
66,13319086,10.5281/zenodo.13319086,298245,1,"traits, active",FAOSTAT,https://zenodo.org/records/13319086
67,13320933,10.5281/zenodo.13320933,250936,1,"textmining, traits, active",Habitat data for aquatic invertebrates,https://zenodo.org/records/13320933
68,13312747,10.5281/zenodo.13312747,228832,1,"traits, active",Bivalve body mass: Body mass bivalves,https://zenodo.org/records/13312747
69,13312631,10.5281/zenodo.13312631,217349,1,"traits, media, descriptions, active",CoralReefFish,https://zenodo.org/records/13312631
70,13320943,10.5281/zenodo.13320943,210927,1,"taxonomic inference, traits, active",Arthropod Trophic Ecology Data,https://zenodo.org/records/13320943
71,13312770,10.5281/zenodo.13312770,209432,1,"traits, active",US Fish and Wildlife Service Endangered Species Listings,https://zenodo.org/records/13312770
72,13315855,10.5281/zenodo.13315855,204031,1,"active, traits","Hone et al, 2013",https://zenodo.org/records/13315855
73,13315833,10.5281/zenodo.13315833,185696,1,"traits, active","Sibly et al, 2012",https://zenodo.org/records/13315833
74,13320513,10.5281/zenodo.13320513,155147,1,"textmining, traits, active",Body Size Data for North American Hemiptera,https://zenodo.org/records/13320513
75,13313925,10.5281/zenodo.13313925,150159,1,"traits, active","Marshall et al, 2012",https://zenodo.org/records/13313925
76,13319635,10.5281/zenodo.13319635,146199,1,"traits, active",Canadian National Vegetation Classification (CNVC),https://zenodo.org/records/13319635
77,13320583,10.5281/zenodo.13320583,144571,1,"taxonomic inference, traits, active",Habitat data for microbial organisms,https://zenodo.org/records/13320583
78,13312780,10.5281/zenodo.13312780,143407,1,"traits, active",MammalDIET,https://zenodo.org/records/13312780
79,13322457,10.5281/zenodo.13322457,140302,1,"traits, active",Shaw Nature Reserve - A division of the Missouri Botanical Garden: Lily Database,https://zenodo.org/records/13322457
80,13313756,10.5281/zenodo.13313756,137168,1,"traits, active","Leblanc et al, 2012",https://zenodo.org/records/13313756
81,13319554,10.5281/zenodo.13319554,133429,1,"traits, active","Anderson and Wiens, 2017",https://zenodo.org/records/13319554
82,13320603,10.5281/zenodo.13320603,131030,1,"traits, active","literature body sizes, metazoa",https://zenodo.org/records/13320603
83,13315817,10.5281/zenodo.13315817,118605,1,"traits, active","Hershkovitz Y., V. Dahm, A.W. Lorenz and D. Hering (2015)",https://zenodo.org/records/13315817
84,17553181,10.5281/zenodo.17553181,113512,1,"traits, geography",Coral Reef Fishes of Indonesia,https://zenodo.org/records/17553181
85,13318999,10.5281/zenodo.13318999,109553,1,"traits, active","Sabath et al, 2016",https://zenodo.org/records/13318999
86,13319399,10.5281/zenodo.13319399,107226,1,"traits, active","Moss et al, 2016",https://zenodo.org/records/13319399
87,13315831,10.5281/zenodo.13315831,104515,1,"EOL Content Partners: Gymnodiniales, active, traits",Gymnodiniales: Gymnodiniales Traits,https://zenodo.org/records/13315831
88,17370587,10.5281/zenodo.17370587,89616,1,"traits, active","Robertson & Tornabene, 2020",https://zenodo.org/records/17370587
89,14890021,10.5281/zenodo.14890021,88061,1,"traits, geography, descriptions, media, active, textmining",Deutsche Entomologische Zeitschrift: Deutsche Entomologische Zeitschrift (792),https://zenodo.org/records/14890021
90,13320497,10.5281/zenodo.13320497,86204,1,"textmining, traits, active",Body Length Data for North American Beetles,https://zenodo.org/records/13320497
91,13320589,10.5281/zenodo.13320589,85956,1,"textmining, traits, active",Body Size Data for North American Spiders,https://zenodo.org/records/13320589
92,13320567,10.5281/zenodo.13320567,85493,1,"taxonomic inference, traits, active",Microbe Ecomorphological Guilds,https://zenodo.org/records/13320567
93,15843928,10.5281/zenodo.15843928,79781,1,"traits, active, taxonomic inference","Brusca and Brusca, 2003",https://zenodo.org/records/15843928
94,13316303,10.5281/zenodo.13316303,79053,1,"traits, active",Scleractinia lifestyle,https://zenodo.org/records/13316303
95,13333278,10.5281/zenodo.13333278,73502,1,"traits, active","O__Brien et al, 2013",https://zenodo.org/records/13333278
96,13321623,10.5281/zenodo.13321623,72904,1,"taxonomic inference, traits, active",Trophic guild data for microbial eukaryotes,https://zenodo.org/records/13321623
97,13320867,10.5281/zenodo.13320867,65842,1,"textmining, traits, active",Body Size Data for North American Orthopteroid Insects,https://zenodo.org/records/13320867
98,15325019,10.5281/zenodo.15325019,62108,1,"traits, active, taxonomic inference",marine ecology literature: marine ecology lit v5,https://zenodo.org/records/15325019
99,13318989,10.5281/zenodo.13318989,60625,1,"traits, active",Carnivorous Plants Database,https://zenodo.org/records/13318989
100,13319558,10.5281/zenodo.13319558,59506,1,"traits, active","Vidan et al, 2017",https://zenodo.org/records/13319558
101,13315823,10.5281/zenodo.13315823,58560,1,"EOL Content Partners: Bergtold, 1917, active, traits","Bergtold, 1917",https://zenodo.org/records/13315823
102,13320961,10.5281/zenodo.13320961,58056,1,"traits, active","Schack et al, 2020",https://zenodo.org/records/13320961
103,13322451,10.5281/zenodo.13322451,56633,1,"traits, active",American Insects: American Insects- body length,https://zenodo.org/records/13322451
104,13316105,10.5281/zenodo.13316105,55326,1,"traits, active","Sal et al, 2013",https://zenodo.org/records/13316105
105,13320563,10.5281/zenodo.13320563,54679,1,"textmining, NLP, traits, active",Saproxylic Organisms,https://zenodo.org/records/13320563
106,13313953,10.5281/zenodo.13313953,54095,1,"traits, active","Edwards et al, 2015: Edwards et al",https://zenodo.org/records/13313953
107,13320553,10.5281/zenodo.13320553,52408,1,"textmining, traits, active",Body Length Data for North American Syrphidae & Tabanidae,https://zenodo.org/records/13320553
108,14890011,10.5281/zenodo.14890011,51362,1,"traits, geography, media, descriptions, active, textmining",Zoosystematics and Evolution: Zoosystematics and Evolution (834),https://zenodo.org/records/14890011
109,13319597,10.5281/zenodo.13319597,48179,1,"traits, active",COSEWIC,https://zenodo.org/records/13319597
110,13316343,10.5281/zenodo.13316343,47668,1,"traits, active","Matishov et al, 2000",https://zenodo.org/records/13316343
111,13320925,10.5281/zenodo.13320925,43816,1,"taxonomic inference, traits, active",Wolfgang Bettighofer Amoebozoa Trait Data,https://zenodo.org/records/13320925
112,19859937,10.5281/zenodo.19859937,38236,1,"traits, active","Lobel and Lobel, 2004",https://zenodo.org/records/19859937
113,15312111,10.5281/zenodo.15312111,38175,1,"traits, active","Benedetti et al, 2015",https://zenodo.org/records/15312111
114,13313787,10.5281/zenodo.13313787,37973,1,"traits, active","Wright et al, 2014",https://zenodo.org/records/13313787
115,13313696,10.5281/zenodo.13313696,37427,1,"traits, active","Symonds and Tattersall, 2010",https://zenodo.org/records/13313696
116,13320953,10.5281/zenodo.13320953,37180,1,"traits, active, taxonomic inference",Mineralogy v3,https://zenodo.org/records/13320953
117,13316109,10.5281/zenodo.13316109,36173,1,"traits, active","Appeltans et al, 2012: Appeltans et al",https://zenodo.org/records/13316109
118,13320897,10.5281/zenodo.13320897,34903,1,"traits, active, taxonomic inference","Kawahara et al, 2019",https://zenodo.org/records/13320897
119,13322455,10.5281/zenodo.13322455,31774,1,"traits, active","Female Passerine Singing Behavior from Odom et al. 2013: Odom et al, 2014",https://zenodo.org/records/13322455
120,13321957,10.5281/zenodo.13321957,30447,1,"traits, active","Herring, 1987",https://zenodo.org/records/13321957
121,13320337,10.5281/zenodo.13320337,30351,1,"traits, active, taxonomic inference","Queirós et al, 2013",https://zenodo.org/records/13320337
122,19859526,10.5281/zenodo.19859526,29007,1,"traits, active","Fourriére et al, 2014",https://zenodo.org/records/19859526
123,13315861,10.5281/zenodo.13315861,28629,1,"traits, active",Washington Bird Phenology,https://zenodo.org/records/13315861
124,13313762,10.5281/zenodo.13313762,28510,1,"traits, active","EOL images, flower color study: Flower color study, EOL images",https://zenodo.org/records/13313762
125,16817057,10.5281/zenodo.16817057,26431,1,"traits, active","McDaniel et al, 2012",https://zenodo.org/records/16817057
126,13315717,10.5281/zenodo.13315717,26339,1,"traits, active","Barton, Finkel et al, 2013",https://zenodo.org/records/13315717
127,19859188,10.5281/zenodo.19859188,26078,1,"traits, active","Chabanet et al, 2012",https://zenodo.org/records/19859188
128,13319475,10.5281/zenodo.13319475,25306,1,"traits, active, taxonomic inference","Pereyra et al, 2016",https://zenodo.org/records/13319475
129,13313949,10.5281/zenodo.13313949,24971,1,"traits, active",Widdicombe et al 2010,https://zenodo.org/records/13313949
130,13318203,10.5281/zenodo.13318203,24562,1,"traits, active",Phenoscape Catfish Fin Shapes,https://zenodo.org/records/13318203
131,13320903,10.5281/zenodo.13320903,23874,1,"taxonomic inference, traits, active",Insect Wings,https://zenodo.org/records/13320903
132,14890005,10.5281/zenodo.14890005,23114,1,"geography, traits, media, descriptions, active, textmining",Nota Lepidopterologica: Nota Lepidopterologica (798),https://zenodo.org/records/14890005
133,13319556,10.5281/zenodo.13319556,22020,1,"traits, active","Feldman and Meiri, 2014",https://zenodo.org/records/13319556
134,16817184,10.5281/zenodo.16817184,20670,1,"active, traits","Lukas, D. and Clutton-Brock, T. 2014: Lukas and Clutton-Brock, 2014",https://zenodo.org/records/16817184
135,19859392,10.5281/zenodo.19859392,20399,1,"traits, active","Floeter et al, 2003",https://zenodo.org/records/19859392
136,18210682,10.5281/zenodo.18210682,20146,1,"traits, active, geography","Winston, 1986",https://zenodo.org/records/18210682
137,13319375,10.5281/zenodo.13319375,19381,1,"traits, active","Proudlove, 2020",https://zenodo.org/records/13319375
138,13313776,10.5281/zenodo.13313776,19035,1,"traits, active",Lovegrove 2014,https://zenodo.org/records/13313776
139,19860153,10.5281/zenodo.19860153,18095,1,"traits, active","Satapoomin, 2000",https://zenodo.org/records/19860153
140,13319621,10.5281/zenodo.13319621,18029,1,"traits, geography, active",Kāneʻohe Bay Bioblitz,https://zenodo.org/records/13319621
141,13316319,10.5281/zenodo.13316319,17905,1,"traits, active","Fairbairn, 2013",https://zenodo.org/records/13316319
142,13320230,10.5281/zenodo.13320230,16532,1,"traits, active","Swain et al, 2016",https://zenodo.org/records/13320230
143,18210671,10.5281/zenodo.18210671,16170,1,"traits, active","Cheng et al, 2016",https://zenodo.org/records/18210671
144,19859820,10.5281/zenodo.19859820,15892,1,"traits, active","Lobban et al, 2012",https://zenodo.org/records/19859820
145,13319566,10.5281/zenodo.13319566,15080,1,"traits, active, taxonomic inference","Gamble et al, 2015",https://zenodo.org/records/13319566
146,13318213,10.5281/zenodo.13318213,14529,1,"traits, active","Hughes, 1987",https://zenodo.org/records/13318213
147,14947779,10.5281/zenodo.14947779,14258,1,"traits, active, taxonomic inference",Rockwell et al 2014,https://zenodo.org/records/14947779
148,13315705,10.5281/zenodo.13315705,12947,1,"traits, active",Copepod sizes,https://zenodo.org/records/13315705
149,13320437,10.5281/zenodo.13320437,12207,1,"traits, active, taxonomic inference","Gwynne, 2001",https://zenodo.org/records/13320437
150,13315731,10.5281/zenodo.13315731,11535,1,"traits, active","Reid et al, 2012",https://zenodo.org/records/13315731
151,13313919,10.5281/zenodo.13313919,11466,1,"traits, active",calcification rates: Calcification rates,https://zenodo.org/records/13313919
152,13315853,10.5281/zenodo.13315853,11020,1,"traits, active","Hone et al, 2013: Pterosaur Data",https://zenodo.org/records/13315853
153,13312794,10.5281/zenodo.13312794,10289,1,"traits, active",Texas Natural Diversity Database: Listed Species in Texas,https://zenodo.org/records/13312794
154,13322681,10.5281/zenodo.13322681,10205,1,"traits, active","White and Seymour, 2014",https://zenodo.org/records/13322681
155,13320427,10.5281/zenodo.13320427,9523,1,"traits, active","Martins et al, 2008",https://zenodo.org/records/13320427
156,19859613,10.5281/zenodo.19859613,9437,1,"traits, active","Jawad et al, 2018",https://zenodo.org/records/19859613
157,13312778,10.5281/zenodo.13312778,9403,1,"traits, active","Barton, Pershing et al, 2013",https://zenodo.org/records/13312778
158,13320487,10.5281/zenodo.13320487,9091,1,"traits, active, taxonomic inference","Massard and Geimer, 2008",https://zenodo.org/records/13320487
159,21461784,10.5281/zenodo.21461784,8991,1,"traits, active","Zarco Perello, Moreno Mendoza and Simões, 2014",https://zenodo.org/records/21461784
160,13319647,10.5281/zenodo.13319647,8725,1,"traits, active, taxonomic inference","Lafferty and Shaw, 2013",https://zenodo.org/records/13319647
161,13319197,10.5281/zenodo.13319197,8331,1,"traits, active","Miller and Pawson, 1990",https://zenodo.org/records/13319197
162,19859690,10.5281/zenodo.19859690,8144,1,"traits, active","Kendrick and Rule, 2014",https://zenodo.org/records/19859690
163,13319505,10.5281/zenodo.13319505,8138,1,"traits, active, taxonomic inference","Dooling et al, 2000",https://zenodo.org/records/13319505
164,13320114,10.5281/zenodo.13320114,8056,1,"traits, active, taxonomic inference","Noguchi et al, 2006",https://zenodo.org/records/13320114
165,13319435,10.5281/zenodo.13319435,7926,1,"traits, active, taxonomic inference","Land and Fernald, 1992",https://zenodo.org/records/13319435
166,13319098,10.5281/zenodo.13319098,7805,1,"traits, active","Ojasti, 1996",https://zenodo.org/records/13319098
167,13319387,10.5281/zenodo.13319387,7623,1,"traits, active, taxonomic inference","Syme and Oakley, 2012",https://zenodo.org/records/13319387
168,13319439,10.5281/zenodo.13319439,7587,1,"traits, active, taxonomic inference","Bitsch, 2005",https://zenodo.org/records/13319439
169,13320453,10.5281/zenodo.13320453,7374,1,"traits, active, taxonomic inference","Desutter-Grandcolas, 1995",https://zenodo.org/records/13320453
170,13312611,10.5281/zenodo.13312611,7282,1,"traits, active","Record et al, 2018; copepodid diapause",https://zenodo.org/records/13312611
171,13319028,10.5281/zenodo.13319028,7165,1,"traits, active","Stewart, 1970",https://zenodo.org/records/13319028
172,13319074,10.5281/zenodo.13319074,7140,1,"traits, active","Keller et al, 1989",https://zenodo.org/records/13319074
173,13319580,10.5281/zenodo.13319580,7117,1,"traits, active","Da Silva et al, 2020",https://zenodo.org/records/13319580
174,13319487,10.5281/zenodo.13319487,6874,1,"traits, active, taxonomic inference","Ladich and Popper, 2004",https://zenodo.org/records/13319487
175,13319457,10.5281/zenodo.13319457,6873,1,"traits, active, taxonomic inference","Bok et al, 2016",https://zenodo.org/records/13319457
176,13321483,10.5281/zenodo.13321483,6443,1,"traits, active","Faubel and Kolasa, 1978",https://zenodo.org/records/13321483
177,13320241,10.5281/zenodo.13320241,6288,1,"traits, active, taxonomic inference","Necchi, 2016",https://zenodo.org/records/13320241
178,13319499,10.5281/zenodo.13319499,6226,1,"traits, active, taxonomic inference","Yager, 1999",https://zenodo.org/records/13319499
179,13320963,10.5281/zenodo.13320963,6218,1,"traits, active, taxonomic inference","Salvini-Plawen and Mayr, 1977",https://zenodo.org/records/13320963
180,13320975,10.5281/zenodo.13320975,6131,1,"traits, active, taxonomic inference","Shenkar et al, 2011",https://zenodo.org/records/13320975
181,13320467,10.5281/zenodo.13320467,6046,1,"traits, active, taxonomic inference","Achatz et al, 2013",https://zenodo.org/records/13320467
182,18210677,10.5281/zenodo.18210677,6044,1,"traits, geography, active","Hernandez et al, 2009",https://zenodo.org/records/18210677
183,13319369,10.5281/zenodo.13319369,5819,1,"traits, active, taxonomic inference","Nilsson, 1983",https://zenodo.org/records/13319369
184,13319207,10.5281/zenodo.13319207,5806,1,"traits, active","Jennings et al, 2010",https://zenodo.org/records/13319207
185,13319497,10.5281/zenodo.13319497,5794,1,"traits, active, taxonomic inference","Triblehorn and Yager, 2001",https://zenodo.org/records/13319497
186,19698576,10.5281/zenodo.19698576,5689,1,"traits, active","Ahyong and Erdmann, 2003",https://zenodo.org/records/19698576
187,13319038,10.5281/zenodo.13319038,5681,1,"traits, active, taxonomic inference","Santi et al, 2013",https://zenodo.org/records/13319038
188,13319469,10.5281/zenodo.13319469,5671,1,"traits, active, taxonomic inference","Eick et al, 2005",https://zenodo.org/records/13319469
189,13320191,10.5281/zenodo.13320191,5665,1,"traits, active, taxonomic inference","Namigai et al, 2014",https://zenodo.org/records/13320191
190,13319012,10.5281/zenodo.13319012,5491,1,"traits, active, taxonomic inference",Woodward et al 2016,https://zenodo.org/records/13319012
191,13319467,10.5281/zenodo.13319467,5418,1,"traits, active, taxonomic inference","Price et al, 2005",https://zenodo.org/records/13319467
192,13319441,10.5281/zenodo.13319441,5366,1,"traits, active","Palmer et al, 2017",https://zenodo.org/records/13319441
193,13319046,10.5281/zenodo.13319046,5361,1,"traits, active","Ashihara et al, 2008",https://zenodo.org/records/13319046
194,13319501,10.5281/zenodo.13319501,5357,1,"traits, active, taxonomic inference","Hu et al, 2009",https://zenodo.org/records/13319501
195,13319082,10.5281/zenodo.13319082,5347,1,"traits, active",Yoch 2002,https://zenodo.org/records/13319082
196,13319451,10.5281/zenodo.13319451,5323,1,"traits, active, taxonomic inference","Zieger and Meyer-Rochow, 2008",https://zenodo.org/records/13319451
197,13319076,10.5281/zenodo.13319076,5306,1,"traits, active","Kanda and Tsuruta, 1995",https://zenodo.org/records/13319076
198,13320307,10.5281/zenodo.13320307,5300,1,"traits, active, taxonomic inference","Cameron et al, 2000",https://zenodo.org/records/13320307
199,13319231,10.5281/zenodo.13319231,5296,1,"traits, active, taxonomic inference","Hessler, 1981",https://zenodo.org/records/13319231
200,13319389,10.5281/zenodo.13319389,5216,1,"traits, active, taxonomic inference","Picciani et al, 2018",https://zenodo.org/records/13319389
201,13320383,10.5281/zenodo.13320383,5117,1,"traits, active, taxonomic inference","Chan, 2010",https://zenodo.org/records/13320383
202,13319015,10.5281/zenodo.13319015,5103,1,"traits, active, taxonomic inference",Madigan and Jung 2008,https://zenodo.org/records/13319015
203,13320201,10.5281/zenodo.13320201,5046,1,"traits, active, taxonomic inference","Schilthuizen and Davison, 2005",https://zenodo.org/records/13320201
204,13319669,10.5281/zenodo.13319669,4997,1,"taxonomic inference, traits, active",Insect Development,https://zenodo.org/records/13319669
205,13319096,10.5281/zenodo.13319096,4886,1,"traits, active","Hanotte and Mensah, 2002",https://zenodo.org/records/13319096
206,13946150,10.5281/zenodo.13946150,4862,1,"traits, active","DeLeo, Danielle et al. (2024)",https://zenodo.org/records/13946150
207,13319213,10.5281/zenodo.13319213,4847,1,"traits, active, taxonomic inference","Baumiller and Messing, 2007",https://zenodo.org/records/13319213
208,13319453,10.5281/zenodo.13319453,4828,1,"traits, active","Ruhberg and Hamera, 2005",https://zenodo.org/records/13319453
209,13319574,10.5281/zenodo.13319574,4795,1,"traits, active, taxonomic inference","Schmitz and Motani, 2011",https://zenodo.org/records/13319574
210,19860191,10.5281/zenodo.19860191,4782,1,"traits, active","Winfield, Abarca-Arenas and Chazaro-Olvera, 2007",https://zenodo.org/records/19860191
211,13319471,10.5281/zenodo.13319471,4772,1,"traits, active, taxonomic inference","Young, 1997",https://zenodo.org/records/13319471
212,13320305,10.5281/zenodo.13320305,4766,1,"traits, active, taxonomic inference","Pettibone, 1982",https://zenodo.org/records/13320305
213,13319449,10.5281/zenodo.13319449,4745,1,"traits, taxonomic inference, active","Moseley, 1885",https://zenodo.org/records/13319449
214,13320345,10.5281/zenodo.13320345,4742,1,"traits, active, taxonomic inference","Von Konrat et al, 2008",https://zenodo.org/records/13320345
215,13319459,10.5281/zenodo.13319459,4736,1,"traits, active, taxonomic inference","Lapshin and Vorontsov, 2009",https://zenodo.org/records/13319459
216,13320430,10.5281/zenodo.13320430,4699,1,"traits, active, taxonomic inference","Fornoff et al, 2012",https://zenodo.org/records/13320430
217,13319521,10.5281/zenodo.13319521,4637,1,"traits, active, taxonomic inference","Dittami et al, 2017",https://zenodo.org/records/13319521
